Count,Sherd sample Database Individual  number,Sherd_ID_original ,Sample_ID,Vessel_ID,Site_code,Site_name,Country,Region,Latitude ,Longitude ,Phase,Phase_2,Sample_type,Yield_AE,d13C16,d13C18,bigD,Miliacin,Aquatic,AE GC-MS Scan Data file ,TMTD,Pristanic ,Phytanic,SRR_RRR ,APAA_range,APAA_C18_area ,APAA_C20_area ,APAA_EH,APAA_20_18,
77,ENC262,SHC6IV SK460 loc1-3 (context ID),SHC16IAE,SHC16,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,19.84,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
78,ENC263,SHC6IV SK460 loc1-3 (context ID),SHC17IAE,SHC17,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,3.23,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
79,ENC264,SHC6IV SK460 loc1-3 (context ID),SHC18IAE,SHC18,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,6.11,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
80,ENC265,SHC6IV SK460 loc1-3 (context ID),SHC19IAE,SHC19,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,155.73,-25.261,-26.536,-1.275,no,yes,2021_07_12_MB,no,no,yes,29.4,,322780,35065,6.07,0.109,
81,ENC266,SHC6IV SK460 loc1-3 (context ID),SHC20IAE,SHC20,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,2.75,,,,no,no,2021_07_16_SSMB,no,no,no,,,0,0,,,
82,ENC267,SHC6IV SK500 loc2-3 (context ID),SHC21IAE,SHC21,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,2.53,,,,no,no,2021_07_16_SSMB,no,no,no,,,0,0,,,
83,ENC268,SHC6IV SK500 loc2-3 (context ID),SHC22IAE,SHC22,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,2.24,,,,no,no,2021_07_16_SSMB,no,no,no,,,0,0,,,
84,ENC269,SHC6IV SK500 loc2-3 (context ID),SHC23IAE,SHC23,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,5.78,,,,no,no,2021_07_16_SSMB,no,no,no,,,0,0,,,
85,ENC270,SHC6IV SK500 loc2-3 (context ID),SHC24IAE,SHC24,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,1.75,,,,no,no,2021_07_16_SSMB,no,no,no,,,0,0,,,
86,ENC271,SHC6IV SK500 loc2-3 (context ID),SHC25IAE,SHC25,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,23.99,-27.851,-26.907,0.944,no,no,2021_07_16_SSMB,no,tr?,yes,54,,0,0,,,
87,ENC272,SHC6IV SK500 loc2-3 (context ID),SHC26IAE,SHC26,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,2.83,,,,no,no,2021_07_16_SSMB,no,no,no,,,0,0,,,
88,ENC273,SHC6IV SK460 loc1-1 (context ID),SHC27IAE,SHC27,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,17.89,-26.589,-28.027,-1.438,no,no,2021_07_16_SSMB,no,no,no,,,0,0,,,
89,ENC274,SHC6IV SK460 loc1-1 (context ID),SHC28IAE,SHC28,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,11.95,,,,no,no,2021_07_16_SSMB,no,no,no,,,0,0,,,
90,ENC275,SHC6IV SK460 loc1-1 (context ID),SHC29IAE,SHC29,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,2.63,,,,no,no,2021_07_16_SSMB,no,no,no,,,0,0,,,
91,ENC276,SAS.5.SK.177(no sherd ID but context ID),SAS01IAE,SAS01,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,8.99,-29.034,-28.029,1.005,no,no,2021_07_19_MB,no,tr,no,,,0,0,,,
92,ENC277,SAS.5.SK.177(no sherd ID but context ID),SAS02IAE,SAS02,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,2.13,,,,no,no,2021_07_19_MB,no,tr,no,,,0,0,,,
93,ENC278,SAS.5.SK.177(no sherd ID but context ID),SAS03IAE,SAS03,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,73.45,-30.775,-31.193,-0.418,no,no,2021_07_16_SSMB,yes,no,no,,,281816,0,7.66,,
94,ENC279,SAS.5.SK.177(no sherd ID but context ID),SAS04IAE,SAS04,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,47.26,-31.571,-30.434,1.137,no,no,2021_07_16_SSMB,no,tr,no,,,0,0,,,
95,ENC280,SAS.5.SK.177(no sherd ID but context ID),SAS05IAE,SAS05,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,10.29,,,,no,no,2021_07_16_SSMB,no,no,no,,,0,0,,,
96,ENC281,SAS.5.SK.177(no sherd ID but context ID),SAS06IAE,SAS06,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,18.59,-30.762,-30.878,-0.116,no,no,2021_07_16_SSMB,no,tr,no,,,0,0,,,
97,ENC282,SAS.5.SK.177(no sherd ID but context ID),SAS07IAE,SAS07,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,24.62,-17.116,-22.4,-5.284,no,no,2021_07_16_SSMB,no,no,yes,90.5,,110269,0,5.26,,
